entry_time,exit_time,signal,entry_price,exit_price,quantity,pnl,pnl_percent,status
2025-09-24 14:33:17,2025-09-24 14:33:21,SELL,1.17536,1.17536,10.0,0,0,MANUAL
2025-09-24 14:33:21,2025-09-24 14:33:27,SELL,1.17536,1.17536,10.0,0,0,MANUAL
2025-09-24 14:33:27,2025-09-24 14:33:33,SELL,1.17536,1.17536,10.0,0,0,MANUAL
2025-09-24 14:35:54,2025-09-24 14:35:59,BUY,1.17578,1.17578,10.0,0,0,MANUAL
2025-09-24 14:35:59,2025-09-24 14:36:04,BUY,1.17578,1.17578,10.0,0,0,MANUAL
2025-09-24 14:36:04,2025-09-24 14:36:10,BUY,1.17578,1.17578,10.0,0,0,MANUAL
2025-09-24 14:43:13,2025-09-24 14:43:18,SELL,1.17536,1.17536,10.0,0,0,MANUAL
2025-09-24 14:43:18,2025-09-24 14:43:23,SELL,1.17536,1.17536,10.0,0,0,MANUAL
2025-09-24 14:43:23,2025-09-24 14:43:29,SELL,1.17536,1.17536,10.0,0,0,MANUAL
2025-09-24 14:44:04,2025-09-24 14:44:09,SELL,1.17536,1.17536,10.0,0,0,MANUAL
2025-09-24 14:44:09,2025-09-24 14:44:14,SELL,1.17536,1.17536,10.0,0,0,MANUAL
2025-09-24 14:47:51,2025-09-24 14:47:55,BUY,1.17564,1.17564,10.0,0,0,MANUAL
2025-09-24 14:47:55,2025-09-24 14:48:01,BUY,1.17564,1.17564,10.0,0,0,MANUAL
2025-09-24 14:48:01,2025-09-24 14:48:06,BUY,1.17564,1.17564,10.0,0,0,MANUAL
2025-09-24 14:49:03,2025-09-24 14:49:07,SELL,1.17536,1.17536,10.0,0,0,MANUAL
2025-09-24 14:49:07,2025-09-24 14:49:13,SELL,1.17536,1.17536,10.0,0,0,MANUAL
